iter	Passed	Remaining
0	301	602926
1	471	471276
2	636	423942
3	802	400484
4	970	387325
5	1142	379680
6	1323	376837
7	1496	372673
8	1665	368533
9	1843	366931
10	2023	365811
11	2189	362672
12	2355	360015
13	2530	358901
14	2704	357862
15	2891	358495
16	3078	359090
17	3249	357780
18	3424	357021
19	3584	354888
20	3762	354606
21	3942	354502
22	4118	354024
23	4291	353337
24	4452	351775
25	4624	351091
26	4784	349652
27	5000	352187
28	5233	355684
29	5467	359045
30	5641	358335
31	5813	357556
32	5985	356794
33	6146	355428
34	6311	354359
35	6481	353624
36	6647	352676
37	6812	351764
38	6974	350686
39	7141	349934
40	7315	349529
41	7490	349186
42	7661	348669
43	7830	348085
44	7994	347322
45	8166	346881
46	8326	345994
47	8492	345370
48	8711	346856
49	8894	346903
50	9057	346147
51	9217	345311
52	9370	344219
53	9530	343442
54	9708	343340
55	9895	343525
56	10122	345038
57	10500	351579
58	10774	354461
59	11048	357229
60	11252	357687
61	11451	357965
62	11651	358236
63	11873	359178
64	12083	359728
65	12272	359613
66	12460	359507
67	12650	359430
68	12850	359617
69	13072	360418
70	13265	360420
71	13444	360006
72	13633	359889
73	13836	360126
74	14025	359987
75	14213	359822
76	14403	359709
77	14580	359277
78	14774	359253
79	14960	359045
80	15125	358349
81	15290	357642
82	15450	356847
83	15613	356142
84	15772	355342
85	15936	354683
86	16103	354090
87	16261	353326
88	16425	352679
89	16582	351919
90	16746	351299
91	16905	350605
92	17077	350183
93	17249	349751
94	17414	349199
95	17582	348712
96	17751	348253
97	17917	347754
98	18078	347142
99	18242	346612
100	18407	346091
101	18579	345725
102	18748	345306
103	18927	345064
104	19102	344754
105	19264	344216
106	19422	343617
107	19586	343132
108	19771	343009
109	19958	342929
110	20191	343622
111	20362	343253
112	20558	343302
113	20743	343175
114	20918	342878
115	21084	342440
116	21261	342184
117	21422	341668
118	21596	341363
119	21778	341199
120	21959	341008
121	22186	341522
122	22406	341923
123	22612	342106
124	22804	342066
125	22963	341542
126	23131	341151
127	23291	340641
128	23468	340381
129	23637	340019
130	23812	339734
131	23979	339347
132	24146	338956
133	24307	338492
134	24476	338140
135	24642	337746
136	24807	337342
137	24974	336978
138	25138	336563
139	25309	336257
140	25468	335785
141	25648	335593
142	25831	335445
143	26001	335130
144	26173	334841
145	26363	334782
146	26559	334789
147	26750	334742
148	26933	334595
149	27114	334406
150	27283	334085
151	27442	333648
152	27610	333310
153	27773	332923
154	27939	332571
155	28106	332237
156	28275	331917
157	28439	331551
158	28608	331245
159	28816	331387
160	28989	331129
161	29157	330807
162	29340	330660
163	29505	330320
164	29683	330119
165	29862	329922
166	30040	329730
167	30250	329874
168	30437	329773
169	30686	330329
170	30896	330464
171	31086	330384
172	31278	330321
173	31481	330378
174	31656	330127
175	31825	329823
176	31999	329579
177	32178	329378
178	32385	329462
179	32551	329133
180	32723	328865
181	32885	328496
182	33054	328198
183	33224	327911
184	33381	327503
185	33545	327160
186	33707	326804
187	33873	326483
188	34032	326098
189	34199	325794
190	34364	325476
191	34528	325143
192	34689	324791
193	34851	324440
194	35018	324147
195	35199	323977
196	35362	323645
197	35529	323357
198	35689	322996
199	35849	322645
200	36010	322306
201	36176	322008
202	36332	321625
203	36492	321275
204	36658	320988
205	36838	320819
206	37035	320798
207	37196	320466
208	37353	320098
209	37518	319802
210	37683	319502
211	37843	319171
212	38016	318948
213	38186	318697
214	38339	318303
215	38493	317929
216	38648	317561
217	38805	317206
218	38979	316994
219	39140	316683
220	39303	316383
221	39465	316080
222	39618	315701
223	39784	315430
224	39942	315101
225	40101	314780
226	40265	314497
227	40430	314221
228	40590	313913
229	40758	313660
230	40919	313363
231	41085	313101
232	41276	313030
233	41438	312740
234	41592	312386
235	41805	312476
236	42019	312575
237	42193	312374
238	42368	312178
239	42536	311937
240	42716	311775
241	43028	312580
242	43401	313812
243	43627	313972
244	43824	313927
245	44009	313793
246	44187	313605
247	44399	313661
248	44611	313711
